Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Huile aromatique Fruit de la passion,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-fruit-de-la-passion,Passiflora Edulis (Passion Fruit) Seed Oil,Passiflora edulis,"Huile aromatique Fruit de la Passion 100% Naturelle Accueil Produits Huile aromatique Fruit de la passion Huile aromatique Fruit de la passion Sku: HA-FPASSI En stock Huile aromatique Fruit de la passion Sku: HA-FPASSI En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Fruit de la passion Nom botanique : Passiflora edulis Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Gardénia,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-gardenia,Gardenia Augusta (Gardenia) Flower Oil,Gardenia augusta,"Huile aromatique Gardénia 100% Naturelle Accueil Produits Huile aromatique Gardénia Huile aromatique Gardénia Sku: HA-GARDE En stock Huile aromatique Gardénia Sku: HA-GARDE En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Gardénia Nom botanique : Gardenia augusta Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Gingembre,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-gingembre,Zingiber Officinale (Ginger) Root Oil,Zingiber officinalis,"Huile aromatique Gingembre 100% naturelle et pure Accueil Produits Huile aromatique Gingembre Huile aromatique Gingembre Sku: HA-GINGEM En stock Huile aromatique Gingembre Sku: HA-GINGEM En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Gingembre Nom botanique : Zingiber officinalis Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Jasmin,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-jasmin,Jasminum Grandiflorum (Jasmine) Flower Oil,Jasminum grandiflorum,"Huile aromatique Jasmin 100% naturelle Accueil Produits Huile aromatique Jasmin Huile aromatique Jasmin Sku: HA-JASMIN En stock Huile aromatique Jasmin Sku: HA-JASMIN En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Jasmin Nom botanique : Jasminum grandiflorum Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Licorne,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-licorne,Malus Domestica (Apple) Flower Oil; Lilium Convallium (Muguet) Flower Oil; Fragaria Ananassa (Strawberry) Fruit Oil; Jasminum Grandiflorum (Jasmine) Flower Oil,,"Huile aromatique Licorne Accueil Produits Huile aromatique Licorne Huile aromatique Licorne Sku: HA-LICOR En stock Huile aromatique Licorne Sku: HA-LICOR En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Licorne Mélange de nos huiles : (Fleur de pommier, Muguet, Fraise, Jasmin) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",À valider,2026-03-27
Huile aromatique Lilas,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-lilas,Syringa Vulgaris (Lilac) Flower Oil,Syringa vulgaris,"Huile aromatique de Lilas 100% naturelle Accueil Produits Huile aromatique Lilas Huile aromatique Lilas Sku: HA-LILAS En stock Huile aromatique Lilas Sku: HA-LILAS En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique: Lilas Nom botanique: Syringa vulgaris Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Lime & Coriandre,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-lime-coriandre,Citrus Aurantiifolia (Lime) Peel Oil; Coriandrum Sativum (Coriander) Seed Oil,Citrus aurantifolia & Coriandrum sativum,"Huile aromatique Lime & Coriandre Accueil Produits Huile aromatique Lime & Coriandre Huile aromatique Lime & Coriandre Sku: HA-LIMCOR En stock Huile aromatique Lime & Coriandre Sku: HA-LIMCOR En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Lime & Coriandre Nom botanique : Citrus aurantifolia & Coriandrum sativum Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Magnolia,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-magnolia,Michelia Alba (Magnolia) Flower Oil,Michelia alba,"Huile aromatique Magnolia 100% naturelle Accueil Produits Huile aromatique Magnolia Huile aromatique Magnolia Sku: HA-MAGNO En stock Huile aromatique Magnolia Sku: HA-MAGNO En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Magnolia Nom botanique : Michelia alba Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Mangue,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-mangue,Mangifera Indica (Mango) Fruit Oil,Mangifera indica,"Huile aromatique Mangue 100% naturelle Accueil Produits Huile aromatique Mangue Huile aromatique Mangue Sku: HA-MANGU En stock Huile aromatique Mangue Sku: HA-MANGU En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Mangue Nom botanique : Mangifera indica Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Mangue & Noix de coco,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-mangue-noix-de-coco,Mangifera Indica (Mango) Fruit Oil; Cocos Nucifera (Coconut) Oil,Mangifera indica & Cocos nucifera,"Huile aromatique Mangue et Noix de coco Accueil Produits Huile aromatique Mangue & Noix de coco Huile aromatique Mangue & Noix de coco Sku: HA-MCOCO En stock Huile aromatique Mangue & Noix de coco Sku: HA-MCOCO En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Mangue / Noix de coco Nom botanique : Mangifera indica & Cocos nucifera Mélange de nos huiles aromatiques : (mangue, noix de coco) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Méditation,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-meditation,,,"Huile aromatique Méditation Accueil Produits Huile aromatique Méditation Huile aromatique Méditation Sku: HA-MEDITA En stock Huile aromatique Méditation Sku: HA-MEDITA En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Méditation Découvrez l'huile aromatique Méditation, une fragrance unique et apaisante conçue pour inspirer calme et sérénité. Notre huile aromatique est élaborée à partir d'extraits de fleurs, plantes, fruits et herbes. La fragrance Méditation propose un mélange harmonieux de Champaca, Jasmin, Bois de santal, et Patchouli, offrant un arôme poudré et terreux qui favorise l'équilibre et la relaxation. Idéale pour la création de produits cosmétiques ou d'ambiance, cette huile est parfaite pour ajouter une touche de tranquillité à vos formulations. Utilisations recommandées : L'huile aromatique Méditation peut être utilisée dans une grande variété de créations artisanales et cosmétiques, incluant : Savons (saponification à froid : il est conseillé de tester la fragrance, car elle pourrait dans certains cas accélérer la trace) Crèmes et beurres corporels Produits de massage et huiles pour le corps Bougies parfumées et fondants de cire Sels de bain, shampoings et autres produits cosmétiques Ajoutez une note spirituelle et équilibrante à vos créations, que ce soit pour des savons maison ou des bougies artisanales. Avantages de l'huile aromatique Méditation : Soutient le bien-être : grâce aux propriétés apaisantes des extraits de Champaca et de Bois de santal. Polyvalente, convient pour de nombreux produits, des soins pour la peau aux produits d'ambiance. Mise en Garde et Conformité : Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire est de votre responsabilité. . **Usage externe uniquement** : Ce produit est destiné à une utilisation externe. ",À valider,2026-03-27
Huile aromatique Melon d'eau,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-melon-d-eau,Citrullus Lanatus (Watermelon) Fruit Oil,Citrullus lanatus,"Huile aromatique Melon d&#x27;eau 100% naturelle Accueil Produits Huile aromatique Melon d'eau Huile aromatique Melon d'eau Sku: HA-MELOND En stock Huile aromatique Melon d'eau Sku: HA-MELOND En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Melon d'eau Nom botanique : Citrullus lanatus Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Miel de Manuka,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-miel-de-manuka,Leptospermum Scoparium (Manuka) Flower/Leaf Extract,Lesptospermum scoparium,"Huile aromatique Miel de Manuka 100% naturelle Accueil Produits Huile aromatique Miel de Manuka Huile aromatique Miel de Manuka Sku: HA-MIELM En stock Huile aromatique Miel de Manuka Sku: HA-MIELM En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Miel de Manuka Nom botanique : Lesptospermum scoparium Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Muguet,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-muguet,Lilium Convallium (Muguet) Flower Oil,Lilium convallium,"Huile aromatique Muguet Accueil Produits Huile aromatique Muguet Huile aromatique Muguet Sku: HA-MUG En stock Huile aromatique Muguet Sku: HA-MUG En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Muguet Nom botanique : Lilium convallium Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Noix de coco,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-noix-de-coco,Cocos Nucifera (Coconut) Oil,Cocos nucifera,"Huile aromatique Noix de Coco 100% naturelle Accueil Produits Huile aromatique Noix de coco Huile aromatique Noix de coco Sku: HA-NOIXCO En stock Huile aromatique Noix de coco Sku: HA-NOIXCO En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Noix de coco Nom botanique : Cocos nucifera Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Nuit d'amour,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-nuit-d-amour,Lavandula Angustifolia (Lavender) Flower Oil; Citrus Aurantium ssp. amara (Neroli) Flower Oil; Jasminum Grandiflorum (Jasmine) Flower Oil; Michelia Alba (Magnolia) Flower Oil; Cananga Odorata (Ylang Ylang) Flower Oil,"Lavandula angustifolia, Citrus aurantium, Jasminum grandiflorum, Michelia alba, Cananga Odorata","Huile aromatique Nuit d&#x27;amour 100% naturelle Accueil Produits Huile aromatique Nuit d'amour Huile aromatique Nuit d'amour Sku: HA-NUITD En stock Huile aromatique Nuit d'amour Sku: HA-NUITD En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Nuit d'amour Nom botanique : Lavandula angustifolia, Citrus aurantium, Jasminum grandiflorum, Michelia alba, Cananga Odorata Mélange de nos huiles aromatiques : (Lavande, néroli, jasmin, magnolia, Ylang ylang) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique O Bébé,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-o-bebe,Lathyrus Odoratus (Sweet Pea) Flower Oil; Gossypium Arboreum (Cotton) Flower Oil,Lathyrus odoratus et Gossypium arboreum,"Huile aromatique Ô Bébé Accueil Produits Huile aromatique O Bébé Huile aromatique O Bébé Sku: HA-OBEB En stock Huile aromatique O Bébé Sku: HA-OBEB En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : ô bébé Nom Botanique : Lathyrus odoratus et Gossypium arboreum Mélange de nos huiles aromatiques : (Pois de senteur, Fleur de coton) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique O Masculin,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-o-masculin,Cedrus Atlantica (Atlas Cedar) Wood Oil; Jasminum Grandiflorum (Jasmine) Flower Oil; Michelia Alba (Magnolia) Flower Oil; Pogostemon Cablin (Patchouli) Leaf Oil; Rosmarinus Officinalis (Rosemary) Leaf Oil,,"Huile aromatique Ô Masculin 100% Naturel Accueil Produits Huile aromatique O Masculin Huile aromatique O Masculin Sku: HA-OMASC En stock Huile aromatique O Masculin Sku: HA-OMASC En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : ô masculin Mélange de nos huiles : (Cèdre bleu, Jasmin, Magnolia, Patchouli, Romarin ) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",À valider,2026-03-27
Huile aromatique Oléorésine de vanille,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-oleoresine-de-vanille,Vanilla Planifolia (Vanilla) Fruit Extract (Vanilla Oleoresin),Vanilla Planifolia,"Huile aromatique Oléorésine de Vanille 100% naturelle Accueil Produits Huile aromatique Oléorésine de vanille Huile aromatique Oléorésine de vanille Sku: HA-VANILLE En stock Huile aromatique Oléorésine de vanille Sku: HA-VANILLE En stock 15,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Oléorésine de vanille Nom botanique : Vanilla Planifolia Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pain d'épices,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-pain-d-epices,Cinnamomum Zeylanicum (Cinnamon) Bark Oil; Cucurbita Maxima (Pumpkin) Seed Oil; Santalum Spicatum (Sandalwood) Wood Oil; Malus Sylvestris (Apple) Fruit Oil,"Cinnamomum zeylanicum, Cucurbita maxima, Santalum Spicatum, Malus sylvestris","Huile aromatique Pain d&#x27;épices Accueil Produits Huile aromatique Pain d'épices Huile aromatique Pain d'épices Sku: HA-PAINE En stock Huile aromatique Pain d'épices Sku: HA-PAINE En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pain d'épices Nom botanique : Cinnamomum zeylanicum, Cucurbita maxima, Santalum Spicatum, Malus sylvestris Mélange de nos huiles aromatiques : (Cannelle, citrouille, bois de santal, pomme) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Peau de banane,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-peau-de-banane,Musa (Banana) Peel Oil,Musa,"Huile aromatique Banane Accueil Produits Huile aromatique Peau de banane Huile aromatique Peau de banane Sku: HA-BANANE En stock Huile aromatique Peau de banane Sku: HA-BANANE En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pelure de banane Nom Botanique : Musa Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pêche,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-peche,Prunus Persica (Peach) Kernel Oil,Prunus Persica,"Huile aromatique Pêche 100% Naturel Accueil Produits Huile aromatique Pêche Huile aromatique Pêche Sku: HA-PECHE En stock Huile aromatique Pêche Sku: HA-PECHE En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pêche Nom botanique : Prunus Persica Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pivoine,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-pivoine,Paeonia Lactiflora (Peony) Flower Oil,Paeonia lactiflora,"Huile aromatique Pivoine Accueil Produits Huile aromatique Pivoine Huile aromatique Pivoine Sku: HA-PIVOINE En stock Huile aromatique Pivoine Sku: HA-PIVOINE En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pivoine Nom botanique : Paeonia lactiflora Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Poire,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-poire,Pyrus Communis (Pear) Fruit Oil,Pyrus communis L.,"Huile aromatique Poire Accueil Produits Huile aromatique Poire Huile aromatique Poire Sku: HA-POIRE En stock Huile aromatique Poire Sku: HA-POIRE En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Poire Nom botanique : Pyrus communis L. Nos huiles aromatiques 100 % naturelles sont conçues à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Poire asiatique,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-poire-asiatique,Pyrus Pyrifolia (Asian Pear) Fruit Oil,Pyrus pyrifolia,"Huile aromatique Poire asiatique Accueil Produits Huile aromatique Poire asiatique Huile aromatique Poire asiatique Sku: HA-PASI En stock Huile aromatique Poire asiatique Sku: HA-PASI En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Poire asiatique Nom Botanique : Pyrus pyrifolia Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pois de senteur,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-pois-de-senteur,Lathyrus Odoratus (Sweet Pea) Flower Oil,Lathyrus odoratus,"Huile aromatique Pois de senteur Accueil Produits Huile aromatique Pois de senteur Huile aromatique Pois de senteur Sku: HA-POISS En stock Huile aromatique Pois de senteur Sku: HA-POISS En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pois de senteur Nom Botanique : Lathyrus odoratus Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pomme grenade,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-pomme-grenade,Punica Granatum (Pomegranate) Seed Oil,Punica granatu,"Huile aromatique Pomme grenade Accueil Produits Huile aromatique Pomme grenade Huile aromatique Pomme grenade Sku: HA-POMGR En stock Huile aromatique Pomme grenade Sku: HA-POMGR En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pomme grenade Nom botanique : Punica granatu Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Pomme verte,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-pomme-verte,Malus Sylvestris (Apple) Fruit Oil,Malus sylvestris,"Huile aromatique Pomme verte Accueil Produits Huile aromatique Pomme verte Huile aromatique Pomme verte Sku: HA-POMV En stock Huile aromatique Pomme verte Sku: HA-POMV En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Pomme verte Nom botanique : Malus sylvestris Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
